 Date, Time, Reading
 2015-09-03, 13:00:58.025,201000
 2015-09-03, 13:01:28.020,202000
 2015-09-03, 13:01:58.025,202000
 2015-09-03, 13:02:28.020,201000
 2015-09-03, 13:02:58.026,115000
 2015-09-03, 13:03:28.030,115000
 2015-09-03, 13:03:58.027,115000
 2015-09-03, 13:04:28.031,116000
 2015-09-03, 13:04:58.027,58000
 2015-09-03, 13:05:28.032,58000
 2015-09-03, 13:05:58.028,58000
 2015-09-03, 13:06:28.025,58000
 2015-09-03, 13:06:58.020,59000
 2015-09-03, 13:07:28.023,58000
 2015-09-03, 13:07:58.030,58000
 2015-09-03, 13:08:28.035,58000
 2015-09-03, 13:08:58.028,58000
 2015-09-03, 13:09:28.025,59000
 2015-09-03, 13:09:58.031,58000
 2015-09-03, 13:10:28.036,58000
 2015-09-03, 13:10:58.032,58000
 2015-09-03, 13:11:28.026,58000
 2015-09-03, 13:11:58.031,59000
 2015-09-03, 13:12:28.027,58000
 2015-09-03, 13:12:58.044,58000
 2015-09-03, 13:13:28.028,58000
 2015-09-03, 13:13:58.033,58000
 2015-09-03, 13:14:28.039,59000
 2015-09-03, 13:14:58.035,58000
 2015-09-03, 13:15:28.040,58000
 2015-09-03, 13:15:58.044,58000
 2015-09-03, 13:16:28.040,58000
 2015-09-03, 13:16:58.037,60000
 2015-09-03, 13:17:28.041,58000
 2015-09-03, 13:17:58.036,171000
 2015-09-03, 13:18:28.042,153000
 2015-09-03, 13:18:58.037,147000
 2015-09-03, 13:19:28.033,146000
 2015-09-03, 13:19:58.047,145000
 2015-09-03, 13:20:28.044,144000
 2015-09-03, 13:20:58.049,143000
 2015-09-03, 13:21:28.094,143000
 2015-09-03, 13:21:58.039,144000
 2015-09-03, 13:22:28.045,143000
 2015-09-03, 13:22:58.051,144000
 2015-09-03, 13:23:28.056,144000
 2015-09-03, 13:23:58.040,144000
 2015-09-03, 13:24:28.051,145000
 2015-09-03, 13:24:58.051,145000
 2015-09-03, 13:25:28.046,144000
 2015-09-03, 13:25:58.052,144000
 2015-09-03, 13:26:28.051,59000
 2015-09-03, 13:26:58.053,60000
 2015-09-03, 13:27:28.052,58000
 2015-09-03, 13:27:58.044,119000
 2015-09-03, 13:28:28.050,121000
 2015-09-03, 13:28:58.054,122000
 2015-09-03, 13:29:28.049,122000
 2015-09-03, 13:29:58.055,120000
 2015-09-03, 13:30:28.049,119000
 2015-09-03, 13:30:58.046,119000
 2015-09-03, 13:31:28.050,118000
 2015-09-03, 13:31:58.057,119000
 2015-09-03, 13:32:28.051,118000
 2015-09-03, 13:32:58.057,118000
 2015-09-03, 13:33:28.062,118000
 2015-09-03, 13:33:58.048,118000
 2015-09-03, 13:34:28.052,119000
 2015-09-03, 13:34:58.059,117000
 2015-09-03, 13:35:28.053,117000
 2015-09-03, 13:35:58.062,117000
 2015-09-03, 13:36:28.058,117000
 2015-09-03, 13:36:58.053,118000
 2015-09-03, 13:37:28.059,117000
 2015-09-03, 13:37:58.063,117000
 2015-09-03, 13:38:28.059,117000
 2015-09-03, 13:38:58.104,116000
 2015-09-03, 13:39:28.060,117000
 2015-09-03, 13:39:58.064,116000
 2015-09-03, 13:40:28.059,116000
 2015-09-03, 13:40:58.065,116000
 2015-09-03, 13:41:28.060,231000
 2015-09-03, 13:41:58.066,212000
 2015-09-03, 13:42:28.061,206000
 2015-09-03, 13:42:58.057,202000
 2015-09-03, 13:43:28.061,202000
 2015-09-03, 13:43:58.068,201000
 2015-09-03, 13:44:28.062,202000
 2015-09-03, 13:44:58.069,200000
 2015-09-03, 13:45:28.065,201000
 2015-09-03, 13:45:58.059,145000
 2015-09-03, 13:46:28.064,144000
 2015-09-03, 13:46:58.070,146000
 2015-09-03, 13:47:28.064,145000
 2015-09-03, 13:47:58.061,145000
 2015-09-03, 13:48:28.065,145000
 2015-09-03, 13:48:58.072,144000
 2015-09-03, 13:49:28.076,145000
 2015-09-03, 13:49:58.072,59000
 2015-09-03, 13:50:28.067,74000
 2015-09-03, 13:50:58.063,73000
 2015-09-03, 13:51:28.068,61000
 2015-09-03, 13:51:58.074,129000
 2015-09-03, 13:52:28.069,136000
 2015-09-03, 13:52:58.063,2274000
 2015-09-03, 13:53:28.079,2256000
 2015-09-03, 13:53:58.075,2259000
 2015-09-03, 13:54:28.080,2253000
 2015-09-03, 13:54:58.076,2251000
 2015-09-03, 13:55:28.081,2238000
 2015-09-03, 13:55:58.075,2232000
 2015-09-03, 13:56:28.074,2079000
 2015-09-03, 13:56:58.083,2193000
 2015-09-03, 13:57:28.076,2226000
 2015-09-03, 13:57:58.083,137000
 2015-09-03, 13:58:28.075,128000
 2015-09-03, 13:58:58.071,124000
 2015-09-03, 13:59:28.076,125000
 2015-09-03, 13:59:58.083,132000
 2015-09-03, 14:00:28.077,2237000
 2015-09-03, 14:00:58.083,2256000
 2015-09-03, 14:01:28.087,2241000
 2015-09-03, 14:01:58.074,2244000
 2015-09-03, 14:02:28.088,134000
 2015-09-03, 14:02:58.075,101000
 2015-09-03, 14:03:28.079,61000
 2015-09-03, 14:03:58.085,61000
 2015-09-03, 14:04:28.080,141000
 2015-09-03, 14:04:58.086,280000
 2015-09-03, 14:05:28.081,254000
 2015-09-03, 14:05:58.087,237000
 2015-09-03, 14:06:28.091,240000
 2015-09-03, 14:06:58.088,237000
 2015-09-03, 14:07:28.092,223000
 2015-09-03, 14:07:58.089,227000
 2015-09-03, 14:08:28.085,234000
 2015-09-03, 14:08:58.089,287000
 2015-09-03, 14:09:28.094,296000
 2015-09-03, 14:09:58.088,293000
 2015-09-03, 14:10:28.085,283000
 2015-09-03, 14:10:58.091,211000
 2015-09-03, 14:11:28.095,208000
 2015-09-03, 14:11:58.090,237000
 2015-09-03, 14:12:28.096,279000
 2015-09-03, 14:12:58.091,293000
 2015-09-03, 14:13:28.097,296000
 2015-09-03, 14:13:58.091,199000
 2015-09-03, 14:14:28.089,193000
 2015-09-03, 14:14:58.092,204000
 2015-09-03, 14:15:28.099,205000
 2015-09-03, 14:15:58.093,192000
 2015-09-03, 14:16:28.089,196000
 2015-09-03, 14:16:58.094,196000
 2015-09-03, 14:17:28.100,196000
 2015-09-03, 14:17:58.095,194000
 2015-09-03, 14:18:28.101,196000
 2015-09-03, 14:18:58.095,160000
 2015-09-03, 14:19:28.092,119000
 2015-09-03, 14:19:58.096,119000
 2015-09-03, 14:20:28.103,192000
 2015-09-03, 14:20:58.097,217000
 2015-09-03, 14:21:28.103,204000
 2015-09-03, 14:21:58.098,204000
 2015-09-03, 14:22:28.094,205000
 2015-09-03, 14:22:58.098,209000
 2015-09-03, 14:23:28.103,197000
 2015-09-03, 14:23:58.109,200000
 2015-09-03, 14:24:28.104,199000
 2015-09-03, 14:24:58.110,202000
 2015-09-03, 14:25:28.105,192000
 2015-09-03, 14:25:58.101,205000
 2015-09-03, 14:26:28.095,198000
 2015-09-03, 14:26:58.112,70000
 2015-09-03, 14:27:28.116,2280000
 2015-09-03, 14:27:58.112,2249000
 2015-09-03, 14:28:28.107,264000
 2015-09-03, 14:28:58.113,190000
 2015-09-03, 14:29:28.110,152000
 2015-09-03, 14:29:58.114,150000
 2015-09-03, 14:30:28.110,224000
 2015-09-03, 14:30:58.105,235000
 2015-09-03, 14:31:28.111,231000
 2015-09-03, 14:31:58.106,230000
 2015-09-03, 14:32:28.115,233000
 2015-09-03, 14:32:58.106,226000
 2015-09-03, 14:33:28.115,222000
 2015-09-03, 14:33:58.107,225000
 2015-09-03, 14:34:28.115,219000
 2015-09-03, 14:34:58.132,226000
 2015-09-03, 14:35:28.115,222000
 2015-09-03, 14:35:58.119,226000
 2015-09-03, 14:36:28.115,222000
 2015-09-03, 14:36:58.110,154000
 2015-09-03, 14:37:28.116,61000
 2015-09-03, 14:37:58.115,97000
 2015-09-03, 14:38:28.115,156000
 2015-09-03, 14:38:58.111,162000
 2015-09-03, 14:39:28.116,150000
 2015-09-03, 14:39:58.122,143000
 2015-09-03, 14:40:28.117,153000
 2015-09-03, 14:40:58.125,146000
 2015-09-03, 14:41:28.117,141000
 2015-09-03, 14:41:58.124,146000
 2015-09-03, 14:42:28.118,145000
 2015-09-03, 14:42:58.124,144000
 2015-09-03, 14:43:28.119,151000
 2015-09-03, 14:43:58.117,139000
 2015-09-03, 14:44:28.122,122000
 2015-09-03, 14:44:58.118,60000
 2015-09-03, 14:45:28.123,61000
 2015-09-03, 14:45:58.129,100000
 2015-09-03, 14:46:28.176,103000
 2015-09-03, 14:46:58.120,172000
 2015-09-03, 14:47:28.134,173000
 2015-09-03, 14:47:58.130,174000
 2015-09-03, 14:48:28.125,175000
 2015-09-03, 14:48:58.139,179000
 2015-09-03, 14:49:28.126,172000
 2015-09-03, 14:49:58.132,173000
 2015-09-03, 14:50:28.127,163000
 2015-09-03, 14:50:58.131,168000
 2015-09-03, 14:51:28.127,235000
 2015-09-03, 14:51:58.123,354000
 2015-09-03, 14:52:28.138,339000
 2015-09-03, 14:52:58.132,283000
 2015-09-03, 14:53:28.139,244000
 2015-09-03, 14:53:58.133,243000
 2015-09-03, 14:54:28.130,327000
 2015-09-03, 14:54:58.134,335000
 2015-09-03, 14:55:28.131,317000
 2015-09-03, 14:55:58.135,331000
 2015-09-03, 14:56:28.131,325000
 2015-09-03, 14:56:58.136,337000
 2015-09-03, 14:57:28.132,305000
 2015-09-03, 14:57:58.136,326000
 2015-09-03, 14:58:28.133,322000
 2015-09-03, 14:58:58.137,324000
 2015-09-03, 14:59:28.144,322000
 2015-09-03, 14:59:58.138,324000
 2015-09-03, 15:00:28.144,273000
 2015-09-03, 15:00:58.139,119000
 2015-09-03, 15:01:28.143,119000
 2015-09-03, 15:01:58.139,158000
 2015-09-03, 15:02:28.146,205000
 2015-09-03, 15:02:58.150,207000
 2015-09-03, 15:03:28.147,202000
 2015-09-03, 15:03:58.161,190000
 2015-09-03, 15:04:28.142,202000
 2015-09-03, 15:04:58.147,186000
 2015-09-03, 15:05:28.150,196000
 2015-09-03, 15:05:58.147,195000
 2015-09-03, 15:06:28.141,191000
 2015-09-03, 15:06:58.147,192000
 2015-09-03, 15:07:28.142,201000
 2015-09-03, 15:07:58.148,193000
 2015-09-03, 15:08:28.153,191000
 2015-09-03, 15:08:58.149,129000
 2015-09-03, 15:09:28.147,116000
 2015-09-03, 15:09:58.150,70000
 2015-09-03, 15:10:28.154,2124000
 2015-09-03, 15:10:58.151,2139000
 2015-09-03, 15:11:28.155,4233000
 2015-09-03, 15:11:58.142,4191000
 2015-09-03, 15:12:28.148,2047000
 2015-09-03, 15:12:58.152,2086000
 2015-09-03, 15:13:28.157,2093000
 2015-09-03, 15:13:58.153,2111000
 2015-09-03, 15:14:28.148,2109000
 2015-09-03, 15:14:58.154,2046000
 2015-09-03, 15:15:28.148,2045000
 2015-09-03, 15:15:58.155,2173000
 2015-09-03, 15:16:28.161,2140000
 2015-09-03, 15:16:58.153,2072000
 2015-09-03, 15:17:28.160,2077000
 2015-09-03, 15:17:58.150,2092000
 2015-09-03, 15:18:28.157,2055000
 2015-09-03, 15:18:58.163,2032000
 2015-09-03, 15:19:28.158,2129000
 2015-09-03, 15:19:58.154,2184000
